n,plain_ms,paillier_ms,shamir_ms,dp_ms
20,0.0008999680479367574,"{'keygen': np.float64(416.9698573338489), 'encrypt': np.float64(927.6982070102046), 'compute': np.float64(0.35606068558990955), 'decrypt': np.float64(16.785538289695978)}","{'share': np.float64(0.49523869529366493), 'compute': np.float64(0.022274985288580258), 'reconstruct': np.float64(0.038301960254708924)}",0.0076429763187964754
100,0.0006646538774172465,"{'keygen': np.float64(541.3840549687544), 'encrypt': np.float64(4621.320703610157), 'compute': np.float64(1.7114856746047735), 'decrypt': np.float64(16.905259961883228)}","{'share': np.float64(46.37467496407529), 'compute': np.float64(0.4231344598035018), 'reconstruct': np.float64(0.6263020137945811)}",0.006695355599125226
500,0.0015026889741420746,"{'keygen': np.float64(535.8489777427167), 'encrypt': np.float64(23109.691567718983), 'compute': np.float64(8.508736888567606), 'decrypt': np.float64(16.7868936744829)}","{'share': np.float64(5467.1366059531765), 'compute': np.float64(13.890878607829412), 'reconstruct': np.float64(12.646877905353904)}",0.013079028576612473
1000,0.002838283156355222,"{'keygen': np.float64(260.10686228983104), 'encrypt': np.float64(46225.370686268434), 'compute': np.float64(17.059556596602004), 'decrypt': np.float64(16.805375382925074)}","{'share': np.float64(43991.94571305998), 'compute': np.float64(88.53357836293678), 'reconstruct': np.float64(51.686485996469855)}",0.011087628081440926
1500,0.004223625486095746,"{'keygen': np.float64(572.971286640192), 'encrypt': np.float64(69299.66366880883), 'compute': np.float64(25.5929510264347), 'decrypt': np.float64(16.818873040998977)}","{'share': np.float64(148546.95637896657), 'compute': np.float64(223.42091100290418), 'reconstruct': np.float64(117.56452297170956)}",0.012574329351385435
